symptom,state,Up to 2018-08-01,Up to 2018-09-01,aggregate_correlation
Pallor,OR,42,49,72
Paralysis,OR,65,73,10
Paraplegia,OR,30,54,24
Paresis,OR,53,4,75
Paresthesia,OR,8,21,5
Pelvic Pain,OR,65,73,10
Persistent Vegetative State,OR,4,69,26
Photophobia,OR,33,29,37
Polyuria,OR,71,53,42
Presbycusis,OR,9,60,1
Prosopagnosia,OR,37,24,60
Proteinuria,OR,28,32,22
Pruritus,OR,67,7,47
Pseudophakia,OR,2,37,28
Purpura,OR,73,8,51
Purpura Fulminans,OR,19,65,31
Quadriplegia,OR,71,53,42
Renal Colic,OR,18,66,39
Sarcopenia,OR,11,62,3
Sciatica,OR,14,72,10
Scotoma,OR,41,48,71
Seizures,OR,66,73,50
Shoulder Pain,OR,14,72,10
Sleep Deprivation,OR,64,10,48
Sleep Disorders,OR,72,14,56
Sneezing,OR,14,72,10
Snoring,OR,65,73,49
Spasm,OR,62,74,15
Stupor,OR,18,66,39
Stuttering,OR,74,17,57
Sweating Sickness,OR,10,61,2
Syncope,OR,77,11,64
Tetany,OR,69,9,53
Tics,OR,56,13,55
Tinea Pedis,OR,20,44,18
Tinnitus,OR,64,73,48
Toothache,OR,14,72,10
Torticollis,OR,79,2,65
Tremor,OR,64,10,48
Trismus,OR,6,41,32
Unconsciousness,OR,69,10,53
Urinary Incontinence,OR,61,43,14
Vertigo,OR,78,75,66
Vomiting,OR,14,72,10
Weight Gain,OR,14,72,10
Weight Loss,OR,14,72,10
Abdominal Pain,PA,15,24,17
Acute Coronary Syndrome,PA,62,62,69
Ageusia,PA,46,50,61
Agnosia,PA,5,49,6
Agraphia,PA,71,66,83
Albuminuria,PA,23,88,22
Alien Hand Syndrome,PA,46,50,61
Amaurosis Fugax,PA,27,33,47
Amblyopia,PA,66,78,73
Amnesia,PA,15,24,17
Angina Pectoris,PA,64,55,71
Anisocoria,PA,74,69,86
Anomia,PA,69,78,81
Anorexia,PA,79,79,79
Anoxia,PA,57,71,43
Aphasia,PA,16,24,19
Aphonia,PA,57,45,43
Apnea,PA,17,26,18
Arthralgia,PA,56,75,41
Asthenia,PA,79,79,79
Ataxia,PA,7,15,8
Athetosis,PA,81,40,48
Back Pain,PA,15,24,17
Birth Weight,PA,13,4,15
Blindness,PA,79,79,79
Body Weight,PA,31,44,54
Bulimia,PA,79,79,79
Cachexia,PA,54,36,59
Catalepsy,PA,71,66,83
Catatonia,PA,46,51,61
Cerebellar Ataxia,PA,48,47,63
Chest Pain,PA,15,24,17
Chills,PA,15,24,17
Chorea,PA,60,60,67
Colic,PA,15,24,17
Coma,PA,15,24,17
Communication Disorders,PA,79,79,79
Confusion,PA,62,62,69
Constipation,PA,15,24,17
Coprophagia,PA,25,90,24
Cough,PA,15,24,17
Cyanosis,PA,51,35,56
Deafness,PA,79,79,79
Delirium,PA,12,23,13
Diarrhea,PA,15,24,17
Diplopia,PA,75,70,87
Dizziness,PA,15,24,17
Dysarthria,PA,3,28,52
Dysgeusia,PA,33,86,25
Dyslexia,PA,78,77,78
Dysmenorrhea,PA,57,54,43
Dyspepsia,PA,52,35,57
Dysphonia,PA,46,50,61
Dyspnea,PA,15,24,17
Dystonia,PA,55,8,60
Dysuria,PA,8,13,9
Earache,PA,15,24,17
Ecchymosis,PA,6,14,7
Echolalia,PA,26,32,46
Edema,PA,11,22,12
Emaciation,PA,22,9,3
Encopresis,PA,84,38,51
Eructation,PA,46,50,61
Eye Hemorrhage,PA,63,63,70
Eye Pain,PA,15,24,17
Facial Pain,PA,50,59,55
Facial Paralysis,PA,41,82,34
Fasciculation,PA,61,61,68
Fatigue,PA,15,24,17
Feminization,PA,79,79,79
Fetal Weight,PA,38,81,31
Fever,PA,15,24,17
Flank Pain,PA,15,24,17
Flatulence,PA,64,55,71
Flushing,PA,10,21,11
Gagging,PA,12,23,14
Gastroparesis,PA,15,24,17
Gerstmann Syndrome,PA,28,29,44
Halitosis,PA,74,69,86
Hallucinations,PA,15,24,17
Headache,PA,15,24,17
Hearing Loss,PA,78,77,78
Heart Murmurs,PA,79,79,79
Heartburn,PA,15,24,17
Hematemesis,PA,61,61,68
Hemianopsia,PA,35,57,27
Hemifacial Spasm,PA,81,40,48
Hemiplegia,PA,36,84,28
Hemoglobinuria,PA,40,80,33
Hemoptysis,PA,66,58,73
Hiccup,PA,15,24,17
Hirsutism,PA,4,42,53
Hoarseness,PA,70,67,82
Horner Syndrome,PA,46,51,61
Hot Flashes,PA,15,24,17
Hydrops Fetalis,PA,50,59,55
Hyperacusis,PA,45,3,38
Hyperalgesia,PA,6,14,7
Hypercalciuria,PA,42,82,35
Hypercapnia,PA,71,66,83
Hyperemesis Gravidarum,PA,19,17,21
Hyperesthesia,PA,58,30,65
Hypergammaglobulinemia,PA,57,10,42
Hyperkinesis,PA,42,82,35
Hyperphagia,PA,84,38,51
Hyperventilation,PA,76,79,76
Hypesthesia,PA,28,28,44
Hypocapnia,PA,82,41,49
Hypokinesia,PA,41,82,34
Hypothermia,PA,77,74,77
Hypoventilation,PA,56,64,41
Illusions,PA,79,79,79
Intermittent Claudication,PA,73,68,85
Jaundice,PA,67,52,74
Korsakoff Syndrome,PA,59,65,66
Labor Pain,PA,15,24,17
Language Disorders,PA,79,79,79
Learning Disorders,PA,79,79,79
Lethargy,PA,14,19,16
Livedo Reticularis,PA,47,46,62
Low Back Pain,PA,15,25,17
Mental Retardation,PA,79,79,79
Metatarsalgia,PA,69,67,81
Miosis,PA,83,37,50
Morning Sickness,PA,15,24,17
Motion Sickness,PA,1,1,4
Mouth Breathing,PA,53,35,58
Muscle Cramp,PA,70,67,82
Muscle Weakness,PA,11,22,12
Muscular Atrophy,PA,79,79,79
Mutism,PA,79,71,79
Myoclonus,PA,80,76,80
Myokymia,PA,42,39,35
Myotonia,PA,40,80,33
Nausea,PA,15,24,17
Neck Pain,PA,15,24,17
Neuralgia,PA,68,53,75
Nocturia,PA,46,50,61
Obesity,PA,79,79,79
Oliguria,PA,43,16,36
Ophthalmoplegia,PA,72,67,84
Orthostatic Intolerance,PA,24,89,23
Overweight,PA,32,31,45
Pain,PA,15,24,17
Pallor,PA,3,43,52
Paralysis,PA,15,24,17
Paraparesis,PA,26,32,46
Paraplegia,PA,48,47,63
Paresis,PA,79,79,79
Paresthesia,PA,84,38,51
Pelvic Pain,PA,15,24,17
Persistent Vegetative State,PA,56,75,41
Phantom Limb,PA,51,49,56
Photophobia,PA,82,41,49
Polyuria,PA,34,87,26
Presbycusis,PA,37,85,30
Prosopagnosia,PA,44,72,37
Proteinuria,PA,79,79,79
Pruritus,PA,29,11,39
Pseudophakia,PA,9,34,10
Psychomotor Agitation,PA,84,38,51
Purpura,PA,79,79,79
Purpura Fulminans,PA,57,3,42
Quadriplegia,PA,82,41,49
Renal Colic,PA,39,83,32
Respiratory Sounds,PA,70,67,82
Reticulocytosis,PA,20,6,1
Sarcopenia,PA,57,20,42
Sciatica,PA,15,24,17
Scotoma,PA,28,29,44
Seizures,PA,15,24,17
Shoulder Pain,PA,15,24,17
Sleep Deprivation,PA,79,79,79
Sleep Disorders,PA,79,79,79
Sneezing,PA,15,24,17
Snoring,PA,15,24,17
Spasm,PA,15,24,17
Speech Disorders,PA,41,81,34
Stupor,PA,5,18,6
Stuttering,PA,77,73,77
Susac Syndrome,PA,10,21,11
Sweating Sickness,PA,27,33,47
Syncope,PA,73,68,85
Synkinesis,PA,18,27,20
Tetany,PA,76,73,76
Thinness,PA,36,82,29
Tics,PA,60,60,67
Tinea Pedis,PA,49,48,64
Tinnitus,PA,15,24,17
Tonic Pupil,PA,21,7,2
Toothache,PA,15,24,17
Torticollis,PA,30,12,40
Tremor,PA,2,2,5
Trismus,PA,65,56,72
Unconsciousness,PA,83,37,50
Urinary Incontinence,PA,74,69,86
Vertigo,PA,70,5,82
Vocal Cord Paralysis,PA,73,68,85
Vomiting,PA,15,24,17
Weight Gain,PA,15,24,17
Weight Loss,PA,15,24,17
Abdominal Pain,RI,52,61,51
Agnosia,RI,67,51,66
Amblyopia,RI,57,74,56
Amnesia,RI,49,1,39
Anomia,RI,10,22,9
Anorexia,RI,48,72,38
Anoxia,RI,56,73,55
Aphasia,RI,45,3,36
Apnea,RI,71,55,70
Arthralgia,RI,20,35,20
Asthenia,RI,27,6,22
Ataxia,RI,73,56,72
Back Pain,RI,17,31,16
Birth Weight,RI,5,46,1
Blindness,RI,44,70,35
Body Weight,RI,60,46,59
Bulimia,RI,43,71,34
Cachexia,RI,16,30,15
Catatonia,RI,16,30,15
Chest Pain,RI,17,31,16
Chills,RI,47,5,30
Chorea,RI,38,10,48
Colic,RI,25,41,26
Coma,RI,50,2,40
Confusion,RI,44,70,35
Constipation,RI,17,31,16
Cough,RI,17,31,16
Cyanosis,RI,65,43,64
Deafness,RI,51,60,50
Delirium,RI,23,39,28
Diarrhea,RI,17,31,16
Diplopia,RI,4,21,8
Dizziness,RI,18,32,17
Dysarthria,RI,67,51,66
Dyslexia,RI,69,53,68
Dysmenorrhea,RI,62,45,61
Dyspepsia,RI,55,63,54
Dysphonia,RI,29,9,24
Dyspnea,RI,72,59,71
Dystonia,RI,54,64,53
Dysuria,RI,57,8,56
Earache,RI,42,58,33
Ecchymosis,RI,1,18,6
Echolalia,RI,59,49,58
Edema,RI,25,41,26
Encopresis,RI,72,59,71
Eye Pain,RI,40,37,31
Fatigue,RI,63,47,62
Feminization,RI,31,68,41
Fever,RI,17,31,16
Flank Pain,RI,64,48,63
Flatulence,RI,48,72,38
Flushing,RI,54,64,53
Gagging,RI,60,50,59
Gastroparesis,RI,25,41,26
Halitosis,RI,7,16,3
Hallucinations,RI,68,52,67
Headache,RI,17,31,16
Hearing Loss,RI,34,65,44
Heartburn,RI,17,31,16
Hemiplegia,RI,15,25,12
Hemoptysis,RI,59,49,58
Hiccup,RI,51,60,50
Hirsutism,RI,26,42,27
Hot Flashes,RI,36,12,46
Hyperalgesia,RI,22,36,21
Hypercapnia,RI,2,19,6
Hyperemesis Gravidarum,RI,36,12,46
Hyperventilation,RI,12,24,11
Hypothermia,RI,55,63,54
Hypoventilation,RI,11,23,10
Illusions,RI,48,72,38
Jaundice,RI,65,43,64
Lethargy,RI,62,45,61
Low Back Pain,RI,53,62,52
Miosis,RI,57,15,56
Morning Sickness,RI,70,54,69
Motion Sickness,RI,27,6,22
Mutism,RI,31,68,41
Myoclonus,RI,3,20,7
Nausea,RI,17,31,16
Neck Pain,RI,17,31,16
Neuralgia,RI,66,44,65
Nocturia,RI,39,11,49
Obesity,RI,48,72,38
Oliguria,RI,28,7,23
Orthostatic Intolerance,RI,30,8,25
Overweight,RI,32,69,42
Pain,RI,17,31,16
Pallor,RI,35,66,45
Paralysis,RI,6,28,2
Paresthesia,RI,49,1,39
Pelvic Pain,RI,58,33,57
Polyuria,RI,42,58,33
Presbycusis,RI,13,26,13
Prosopagnosia,RI,14,27,14
Proteinuria,RI,9,15,5
Pruritus,RI,52,61,51
Purpura,RI,74,57,73
Sciatica,RI,19,34,18
Seizures,RI,33,67,43
Shoulder Pain,RI,17,31,16
Sleep Deprivation,RI,43,71,34
Sneezing,RI,21,29,19
Snoring,RI,24,40,29
Spasm,RI,33,67,43
Stupor,RI,10,22,9
Stuttering,RI,56,73,55
Syncope,RI,61,50,60
Tetany,RI,15,25,12
Tics,RI,54,64,53
Tinnitus,RI,46,4,37
Toothache,RI,8,17,4
Torticollis,RI,57,14,56
Tremor,RI,37,13,47
Vertigo,RI,41,38,32
Vomiting,RI,17,31,16
Weight Gain,RI,17,31,16
Weight Loss,RI,17,31,16
Abdominal Pain,SC,17,33,17
Acute Coronary Syndrome,SC,58,66,58
Ageusia,SC,46,17,46
Agnosia,SC,64,73,64
Alien Hand Syndrome,SC,16,32,16
Amaurosis Fugax,SC,44,15,44
Amblyopia,SC,50,55,50
Amnesia,SC,15,16,15
Angina Pectoris,SC,29,5,29
Anisocoria,SC,71,65,71
Anomia,SC,39,12,39
Anorexia,SC,62,70,62
Anoxia,SC,35,1,35
Aphasia,SC,50,71,50
Apnea,SC,63,72,63
Arthralgia,SC,30,4,30
Asthenia,SC,74,48,74
Ataxia,SC,26,74,26
Back Pain,SC,17,33,17
Birth Weight,SC,76,44,76
Blindness,SC,62,70,62
Body Weight,SC,65,50,65
Bulimia,SC,62,70,62
Cachexia,SC,42,38,42
Catalepsy,SC,23,42,23
Catatonia,SC,36,2,36
Chest Pain,SC,17,33,17
Chills,SC,17,33,17
Chorea,SC,41,37,41
Colic,SC,53,56,53
Coma,SC,72,52,72
Confusion,SC,60,69,60
Constipation,SC,17,33,17
Coprophagia,SC,64,73,64
Cough,SC,17,33,17
Cyanosis,SC,36,2,36
Deafness,SC,43,39,43
Delirium,SC,75,45,75
Diarrhea,SC,17,33,17
Diplopia,SC,50,55,50
Dizziness,SC,17,33,17
Dysarthria,SC,40,14,40
Dysgeusia,SC,71,65,71
Dyslexia,SC,62,70,62
Dysmenorrhea,SC,10,28,10
Dyspepsia,SC,60,69,60
Dysphonia,SC,29,5,29
Dyspnea,SC,61,67,61
Dystonia,SC,55,53,55
Dysuria,SC,78,43,78
Earache,SC,68,61,68
Ecchymosis,SC,59,66,59
Echolalia,SC,32,8,32
Edema,SC,65,50,65
Emaciation,SC,12,30,12
Encopresis,SC,75,45,75
Eye Pain,SC,13,31,13
Facial Pain,SC,54,57,54
Fatigue,SC,69,62,69
Feminization,SC,56,54,56
Fever,SC,17,33,17
Flank Pain,SC,31,3,31
Flatulence,SC,66,49,66
Flushing,SC,67,60,67
Gagging,SC,51,58,51
Gastroparesis,SC,52,51,52
Halitosis,SC,74,48,74
Hallucinations,SC,7,25,7
Headache,SC,17,33,17
Hearing Loss,SC,27,74,27
Heartburn,SC,17,33,17
Hematemesis,SC,3,21,3
Hemianopsia,SC,24,43,24
Hemiplegia,SC,22,41,22
Hemoptysis,SC,72,51,72
Hiccup,SC,49,59,49
Hirsutism,SC,25,55,25
Hoarseness,SC,42,38,42
Hot Flashes,SC,50,55,50
Hydrops Fetalis,SC,1,19,1
Hyperacusis,SC,77,46,77
Hyperalgesia,SC,16,32,16
Hypercapnia,SC,9,27,9
Hyperemesis Gravidarum,SC,19,35,19
Hyperesthesia,SC,5,23,5
Hyperventilation,SC,58,66,58
Hypothermia,SC,42,38,42
Hypoventilation,SC,41,37,41
Illusions,SC,62,70,62
Intermittent Claudication,SC,63,72,63
Jaundice,SC,60,66,60
Labor Pain,SC,54,57,54
Lethargy,SC,26,4,26
Livedo Reticularis,SC,43,39,43
Low Back Pain,SC,48,68,48
Mental Retardation,SC,62,70,62
Metatarsalgia,SC,24,10,24
Miosis,SC,64,73,64
Morning Sickness,SC,14,31,14
Motion Sickness,SC,68,61,68
Mouth Breathing,SC,73,47,73
Muscle Cramp,SC,30,4,30
Muscle Weakness,SC,24,63,24
Mutism,SC,35,1,35
Myoclonus,SC,21,40,21
Nausea,SC,17,33,17
Neck Pain,SC,17,33,17
Neuralgia,SC,57,54,57
Nocturia,SC,29,5,29
Obesity,SC,62,70,62
Oliguria,SC,77,43,77
Ophthalmoplegia,SC,11,29,11
Orthostatic Intolerance,SC,47,18,47
Overweight,SC,48,68,48
Pain,SC,17,33,17
Pallor,SC,37,6,37
Paralysis,SC,18,34,18
Paraplegia,SC,77,46,77
Paresis,SC,43,39,43
Paresthesia,SC,55,53,55
Pelvic Pain,SC,69,62,69
Photophobia,SC,24,13,24
Polyuria,SC,76,44,76
Presbycusis,SC,6,24,6
Prosopagnosia,SC,38,7,38
Proteinuria,SC,45,63,45
Pruritus,SC,53,56,53
Purpura,SC,62,70,62
Quadriplegia,SC,8,26,8
Renal Colic,SC,73,47,73
Sarcopenia,SC,7,25,7
Sciatica,SC,17,33,17
Scotoma,SC,66,49,66
Seizures,SC,70,64,70
Shoulder Pain,SC,17,33,17
Sleep Deprivation,SC,21,40,21
Sleep Disorders,SC,70,64,70
Sneezing,SC,17,33,17
Snoring,SC,58,66,58
Spasm,SC,67,60,67
Stupor,SC,2,20,2
Stuttering,SC,28,75,28
Sweating Sickness,SC,4,22,4
Syncope,SC,77,46,77
Tetany,SC,33,9,33
Tics,SC,64,73,64
Tinea Pedis,SC,22,41,22
Tinnitus,SC,20,36,20
Toothache,SC,17,33,17
Torticollis,SC,71,65,71
Tremor,SC,50,55,50
Trismus,SC,58,66,58
Urinary Incontinence,SC,34,11,34
Vertigo,SC,76,44,76
Vomiting,SC,17,33,17
Weight Gain,SC,17,33,17
Weight Loss,SC,17,33,17
Abdominal Pain,SD,54,17,12
Agnosia,SD,54,17,12
Amnesia,SD,39,43,27
Anorexia,SD,50,3,9
Anoxia,SD,3,13,6
Aphasia,SD,31,20,38
Apnea,SD,51,47,10
Asthenia,SD,14,9,33
Ataxia,SD,8,1,2
Back Pain,SD,26,33,53
Birth Weight,SD,17,39,36
Blindness,SD,7,1,3
Body Weight,SD,43,52,18
Bulimia,SD,53,3,3
Cachexia,SD,19,23,44
Chest Pain,SD,22,29,47
Chills,SD,10,5,16
Chorea,SD,39,43,27
Colic,SD,15,10,34
Coma,SD,44,53,19
Confusion,SD,2,12,5
Constipation,SD,26,32,53
Cough,SD,26,33,53
Cyanosis,SD,14,9,33
Deafness,SD,38,42,26
Delirium,SD,48,50,23
Diarrhea,SD,26,33,53
Diplopia,SD,8,1,2
Dizziness,SD,29,36,50
Dysarthria,SD,47,49,22
Dyslexia,SD,6,2,1
Dysmenorrhea,SD,41,45,29
Dyspepsia,SD,23,30,54
Dyspnea,SD,1,11,4
Dystonia,SD,47,49,22
Dysuria,SD,16,38,35
Earache,SD,46,48,21
Ecchymosis,SD,46,48,21
Edema,SD,9,4,15
Emaciation,SD,33,22,40
Eye Pain,SD,18,40,37
Fatigue,SD,10,5,16
Fever,SD,26,33,53
Flatulence,SD,9,4,15
Flushing,SD,42,46,30
Gagging,SD,11,6,17
Gastroparesis,SD,27,34,48
Halitosis,SD,40,44,28
Hallucinations,SD,2,12,5
Headache,SD,26,33,53
Hearing Loss,SD,43,52,18
Heartburn,SD,25,32,52
Hemiplegia,SD,20,24,45
Hemoptysis,SD,36,27,43
Hiccup,SD,24,31,55
Hirsutism,SD,46,48,21
Hot Flashes,SD,16,38,35
Hypercapnia,SD,32,21,39
Hyperemesis Gravidarum,SD,12,7,31
Hyperventilation,SD,43,52,18
Hypothermia,SD,15,10,34
Illusions,SD,7,1,3
Jaundice,SD,46,48,21
Lethargy,SD,43,52,18
Low Back Pain,SD,8,1,2
Miosis,SD,53,19,14
Morning Sickness,SD,37,41,25
Motion Sickness,SD,55,18,13
Myoclonus,SD,17,39,36
Nausea,SD,25,33,52
Neck Pain,SD,37,41,25
Neuralgia,SD,1,11,4
Obesity,SD,7,1,3
Oliguria,SD,28,35,49
Overweight,SD,46,48,21
Pain,SD,26,33,53
Pallor,SD,16,38,35
Paralysis,SD,34,25,41
Paresis,SD,40,44,28
Paresthesia,SD,1,11,4
Pelvic Pain,SD,21,28,46
Polyuria,SD,13,8,32
Pruritus,SD,43,52,18
Purpura,SD,45,54,20
Sciatica,SD,3,13,6
Seizures,SD,38,42,26
Shoulder Pain,SD,21,28,46
Sleep Deprivation,SD,4,14,7
Sneezing,SD,49,51,24
Snoring,SD,50,48,9
Spasm,SD,5,15,8
Stupor,SD,19,23,44
Stuttering,SD,1,11,4
Syncope,SD,8,1,2
Tetany,SD,14,9,33
Tics,SD,51,47,10
Tinnitus,SD,6,2,1
Toothache,SD,52,16,11
Torticollis,SD,52,16,11
Tremor,SD,47,49,22
Vertigo,SD,4,14,7
Vomiting,SD,26,33,53
Weight Gain,SD,30,37,51
Weight Loss,SD,35,26,42
Abdominal Pain,TN,12,18,15
Acute Coronary Syndrome,TN,75,76,36
Ageusia,TN,22,10,3
Agnosia,TN,47,82,73
Albuminuria,TN,88,67,46
Alien Hand Syndrome,TN,64,25,6
Amaurosis Fugax,TN,26,55,52
Amblyopia,TN,36,48,62
Amnesia,TN,11,18,14
Angina Pectoris,TN,35,46,61
Anisocoria,TN,88,67,46
Anomia,TN,81,70,49
Anorexia,TN,53,51,79
Anoxia,TN,88,67,46
Aphasia,TN,20,85,8
Aphonia,TN,65,26,7
Apnea,TN,49,77,75
Arthralgia,TN,42,52,68
Asthenia,TN,56,38,82
Ataxia,TN,87,66,45
Athetosis,TN,72,30,31
Back Pain,TN,12,18,15
Birth Weight,TN,54,75,80
Blindness,TN,53,51,79
Body Weight,TN,39,60,65
Bulimia,TN,53,51,79
Cachexia,TN,83,78,40
Catatonia,TN,74,3,5
Cerebellar Ataxia,TN,72,30,31
Chest Pain,TN,12,18,15
Chills,TN,12,18,15
Chorea,TN,33,57,59
Colic,TN,43,49,69
Coma,TN,15,21,18
Communication Disorders,TN,52,64,78
Confusion,TN,42,52,68
Constipation,TN,12,18,15
Coprophagia,TN,35,46,61
Cough,TN,12,18,15
Cyanosis,TN,60,39,86
Deafness,TN,53,51,79
Delirium,TN,1,29,27
Diarrhea,TN,12,18,15
Diplopia,TN,62,40,88
Dizziness,TN,12,18,15
Dysarthria,TN,16,8,19
Dysgeusia,TN,5,23,26
Dyslexia,TN,53,51,79
Dysmenorrhea,TN,86,5,44
Dyspepsia,TN,53,51,79
Dysphonia,TN,41,53,67
Dyspnea,TN,32,59,58
Dystonia,TN,89,68,47
Dysuria,TN,80,69,48
Earache,TN,12,18,15
Ecchymosis,TN,34,61,60
Echolalia,TN,32,59,58
Edema,TN,7,36,10
Emaciation,TN,26,55,52
Encopresis,TN,63,65,89
Eructation,TN,6,74,25
Eye Pain,TN,12,18,15
Facial Pain,TN,31,58,57
Fasciculation,TN,5,23,26
Fatigue,TN,12,18,15
Feminization,TN,39,60,65
Fever,TN,12,18,15
Flank Pain,TN,85,80,42
Flatulence,TN,37,47,63
Flushing,TN,35,46,61
Gagging,TN,27,33,53
Gastroparesis,TN,8,13,11
Halitosis,TN,41,53,67
Hallucinations,TN,43,42,69
Headache,TN,12,18,15
Hearing Loss,TN,53,51,79
Heart Murmurs,TN,84,79,41
Heartburn,TN,12,18,15
Hematemesis,TN,4,6,30
Hemianopsia,TN,61,41,87
Hemiplegia,TN,56,24,82
Hemoglobinuria,TN,66,72,23
Hemoptysis,TN,87,66,45
Hiccup,TN,9,16,12
Hirsutism,TN,88,67,46
Hoarseness,TN,30,62,56
Horner Syndrome,TN,17,9,20
Hot Flashes,TN,38,15,64
Hydrops Fetalis,TN,76,24,37
Hyperacusis,TN,31,58,57
Hyperalgesia,TN,24,12,4
Hypercalciuria,TN,68,27,34
Hypercapnia,TN,32,59,58
Hyperemesis Gravidarum,TN,10,17,13
Hyperesthesia,TN,3,7,29
Hyperventilation,TN,25,56,51
Hypocapnia,TN,62,40,88
Hypothermia,TN,48,83,74
Hypoventilation,TN,56,24,82
Illusions,TN,53,51,79
Intermittent Claudication,TN,54,75,80
Jaundice,TN,42,52,68
Korsakoff Syndrome,TN,39,60,65
Labor Pain,TN,57,22,83
Lethargy,TN,2,29,28
Livedo Reticularis,TN,42,52,68
Low Back Pain,TN,77,81,43
Mental Retardation,TN,53,51,79
Metatarsalgia,TN,25,56,51
Miosis,TN,86,65,44
Morning Sickness,TN,33,57,59
Motion Sickness,TN,40,50,66
Mouth Breathing,TN,44,44,70
Muscle Cramp,TN,82,71,50
Muscle Weakness,TN,27,33,53
Mutism,TN,67,73,24
Myoclonus,TN,56,84,82
Myotonia,TN,41,53,67
Nausea,TN,12,18,15
Neck Pain,TN,12,18,15
Neuralgia,TN,29,63,55
Nocturia,TN,60,39,86
Obesity,TN,53,51,79
Oliguria,TN,58,38,84
Ophthalmoplegia,TN,30,62,56
Orthostatic Intolerance,TN,25,56,51
Overweight,TN,39,60,65
Pain,TN,12,18,15
Pallor,TN,80,69,48
Paralysis,TN,12,18,15
Paraparesis,TN,83,78,40
Paraplegia,TN,88,67,46
Paresis,TN,51,84,77
Paresthesia,TN,59,37,85
Pelvic Pain,TN,12,18,15
Phantom Limb,TN,70,31,32
Photophobia,TN,42,52,68
Polyuria,TN,61,41,87
Presbycusis,TN,5,23,26
Prosopagnosia,TN,78,1,38
Proteinuria,TN,45,45,71
Pruritus,TN,28,34,54
Pseudophakia,TN,3,7,29
Purpura,TN,55,54,81
Purpura Fulminans,TN,23,11,1
Quadriplegia,TN,56,55,82
Renal Colic,TN,42,52,68
Reticulocytosis,TN,69,28,35
Sarcopenia,TN,83,78,40
Sciatica,TN,12,18,15
Scotoma,TN,81,70,49
Seizures,TN,14,20,17
Shoulder Pain,TN,12,18,15
Sleep Deprivation,TN,29,63,55
Sleep Disorders,TN,53,51,79
Sneezing,TN,12,18,15
Snoring,TN,13,19,16
Spasm,TN,38,15,64
Stupor,TN,73,14,2
Stuttering,TN,82,71,50
Sweating Sickness,TN,21,86,9
Syncope,TN,18,35,21
Tetany,TN,46,82,72
Tics,TN,54,75,80
Tinea Pedis,TN,51,84,77
Tinnitus,TN,19,4,22
Toothache,TN,12,18,15
Torticollis,TN,41,53,67
Tremor,TN,46,82,72
Trismus,TN,71,32,33
Unconsciousness,TN,79,2,39
Urinary Incontinence,TN,39,64,65
Vertigo,TN,50,43,76
Vomiting,TN,12,18,15
Weight Gain,TN,12,18,15
Weight Loss,TN,11,18,14
Abdominal Pain,TX,67,13,66
Acute Coronary Syndrome,TX,54,44,20
Ageusia,TX,43,19,30
Agnosia,TX,54,40,20
Agraphia,TX,28,8,59
Albuminuria,TX,15,62,48
Alien Hand Syndrome,TX,6,23,7
Amaurosis Fugax,TX,38,25,17
Amblyopia,TX,43,48,30
Amnesia,TX,67,13,66
Angina Pectoris,TX,27,51,58
Anisocoria,TX,50,35,29
Anomia,TX,1,67,4
Anorexia,TX,53,46,19
Anoxia,TX,13,60,44
Aphasia,TX,63,10,62
Aphonia,TX,29,26,35
Apnea,TX,70,1,68
Arthralgia,TX,49,34,28
Asthenia,TX,54,40,20
Ataxia,TX,27,51,58
Athetosis,TX,73,70,72
Back Pain,TX,67,13,66
Birth Weight,TX,67,13,66
Blindness,TX,53,46,19
Body Weight,TX,4,4,1
Body Weight Changes,TX,77,65,76
Bulimia,TX,53,46,19
Cachexia,TX,9,7,10
Catalepsy,TX,7,22,8
Catatonia,TX,46,40,24
Cerebellar Ataxia,TX,52,33,18
Chest Pain,TX,67,13,66
Chills,TX,67,13,66
Chorea,TX,53,46,19
Colic,TX,67,13,66
Coma,TX,67,13,66
Communication Disorders,TX,53,46,19
Confusion,TX,35,29,11
Constipation,TX,67,13,66
Coprophagia,TX,41,31,13
Cough,TX,67,13,66
Cyanosis,TX,48,39,27
Deafness,TX,53,46,19
Delirium,TX,31,16,37
Diarrhea,TX,67,13,66
Diplopia,TX,51,45,26
Dizziness,TX,67,13,66
Dysarthria,TX,63,10,62
Dysgeusia,TX,36,77,12
Dyskinesias,TX,24,53,52
Dyslexia,TX,59,44,33
Dysmenorrhea,TX,59,44,33
Dyspepsia,TX,59,42,33
Dysphonia,TX,30,27,36
Dyspnea,TX,67,13,66
Dystonia,TX,19,79,55
Dysuria,TX,67,13,66
Earache,TX,67,13,66
Ecchymosis,TX,65,6,64
Echolalia,TX,6,23,7
Edema,TX,71,2,69
Emaciation,TX,61,75,60
Encopresis,TX,30,27,36
Eructation,TX,21,56,49
Eye Hemorrhage,TX,32,16,38
Eye Pain,TX,67,13,66
Facial Pain,TX,10,58,41
Facial Paralysis,TX,57,47,31
Fasciculation,TX,3,74,6
Fatigue,TX,67,13,66
Feminization,TX,53,46,19
Fetal Distress,TX,22,57,50
Fetal Weight,TX,15,62,48
Fever,TX,67,13,66
Flank Pain,TX,67,13,66
Flatulence,TX,53,46,19
Flushing,TX,79,68,78
Gagging,TX,67,13,66
Gait Ataxia,TX,20,54,56
Gastroparesis,TX,67,13,66
